,t,Vr,Phir
0,0.0,0.639249011705511,4.920479213304471
1,0.010021029198053567,0.6392443228455157,4.931815780732162
2,0.020042058396107135,0.6392397638900914,4.943155556729047
3,0.030063087594160702,0.639235353496997,4.954498571778724
4,0.04008411679221427,0.6392311106673721,4.9658448559061625
5,0.05010514599026784,0.639229058122154,4.9715192331292055
6,0.060126175188321404,0.6392160009884499,4.982867338338044
7,0.07014720438637498,0.6392122611824469,4.994221925234206
8,0.08016823358442854,0.6391996537547076,5.005576748588334
9,0.0901892627824821,0.6391964070743611,5.016938106411615
10,0.10021029198053567,0.6391843320456687,5.028299760122666
11,0.11023132117858925,0.639172554661166,5.039664870957214
12,0.12025235037664281,0.6391713386746797,5.045350294516023
13,0.13027337957469637,0.6391600494626206,5.056720639743057
14,0.14029440877274996,0.6391491133977186,5.068094507785757
15,0.15031543797080352,0.6391385534404564,5.079471924064873
16,0.16033646716885708,0.6391283930017159,5.09085291348416
17,0.17035749636691064,0.6391186559545967,5.10223750043709
18,0.1803785255649642,0.6391093966549537,5.107929593902227
19,0.1903995547630178,0.6391003400008086,5.11931962312927
20,0.20042058396107135,0.6390917685334834,5.130713308646999
21,0.2104416131591249,0.639074590776244,5.142107568339771
22,0.2204626423571785,0.6390670660390327,5.153508636578179
23,0.23048367155523206,0.6390509861150603,5.164910328641602
24,0.24050470075328562,0.639052284473761,5.170615676595899
25,0.2505257299513392,0.639037099381005,5.182022997803613
26,0.26054675914939274,0.6390225453864105,5.193434099398807
27,0.2705677883474463,0.6390177726044899,5.2048520885431095
28,0.2805888175454999,0.6390045682572436,5.216270806401152
29,0.29060984674355345,0.6389920830367803,5.227693362351161
30,0.30063087594160703,0.6389861196468511,5.233406085297906
31,0.31065190513966057,0.6389747707708299,5.2448344322008404
32,0.32067293433771416,0.6389642188903578,5.256266661450677
33,0.33069396353576774,0.6389544963779111,5.267702789743386
34,0.3407149927338213,0.63894563634107,5.279142833190238
35,0.35073602193187486,0.6389376726474231,5.2905868073099835
36,0.3607570511299284,0.6389215136405318,5.3020316709026245
37,0.370778080327982,0.6389183572249418,5.307757116860234
38,0.3807991095260356,0.6389127873153368,5.319210985707489
39,0.3908201387240891,0.6389082386727786,5.330668834913457
40,0.4008411679221427,0.6388956212447672,5.342127635472094
41,0.4108621971201963,0.6388932285312214,5.3535934874398325
42,0.4208832263182498,0.6388828445237896,5.365060323127155
43,0.4309042555163034,0.6388826554299581,5.370796769591778
44,0.440925284714357,0.6388831809604645,5.382272688734595
45,0.4509463139124105,0.6388758177351966,5.39374962883467
46,0.4609673431104641,0.6388788662666584,5.405233648236581
47,0.47098837230851764,0.6388741130717351,5.416718715769499
48,0.48100940150657123,0.6388768128689903,5.422464283937474
49,0.4910304307046248,0.6388741359827214,5.433955469881679
50,0.5010514599026784,0.6388729021564856,5.445450745436498
51,0.5110724891007319,0.6388822891790001,5.4569531137934035
52,0.5210935182987855,0.638884088481618,5.4684565826115525
53,0.5311145474968391,0.6388874806258857,5.479964158490734
54,0.5411355766948927,0.6388943549766432,5.4857209802404485
55,0.5511566058929462,0.6389002356742692,5.497234722334678
56,0.5611776350909998,0.638907843908296,5.508752581245278
57,0.5711986642890533,0.6389263649176716,5.520277529085177
58,0.5812196934871069,0.6389375994899706,5.531803623755093
59,0.5912407226851605,0.6389507364969247,5.543333840966687
60,0.6012617518832141,0.6389626016691885,5.549101973998514
61,0.6112827810812677,0.638978708665937,5.560638373007732
62,0.6213038102793211,0.6389968762195278,5.572178894222338
63,0.6313248394773747,0.6390262979855628,5.5837264769886925
64,0.6413458686754283,0.6390487883874912,5.595275232070612
65,0.6513668978734819,0.6390654423762991,5.601052619502749
66,0.6613879270715355,0.6390913603885472,5.612607543580657
67,0.671408956269589,0.639119656246144,5.624166576951545
68,0.6814299854676426,0.6391504068853685,5.635729714532089
69,0.6914510146656961,0.6391928158732725,5.647299861342644
70,0.7014720438637497,0.6392287165549643,5.658871183169529
71,0.7114930730618033,0.6392522360603095,5.664659827345688
72,0.7215141022598568,0.6392922212935139,5.67623726899772
73,0.7315351314579104,0.6393441626284434,5.68782167277544
74,0.741556160655964,0.6393990295013584,5.69941012610788
75,0.7515771898540176,0.6394477975696444,5.710999737999779
76,0.7615982190520711,0.6394779059652006,5.71679749769972
77,0.7716192482501247,0.6395405143209448,5.728396031005774
78,0.7816402774481782,0.6395972813470303,5.739995705865188
79,0.7916613066462318,0.63966655240702,5.751602245484962
80,0.8016823358442854,0.639739321656795,5.763212763069671
81,0.811703365042339,0.6397770545585088,5.769019508555245
82,0.8217243942403926,0.6398552922966183,5.780635962268127
83,0.831745423438446,0.6399373299057444,5.792256351308973
84,0.8417664526364996,0.6400324083222382,5.803883490784471
85,0.8517874818345532,0.6401224368194169,5.815511686713401
86,0.8618085110326068,0.6401690182015654,5.821327239214135
87,0.8718295402306604,0.6402745139207375,5.832964058947847
88,0.881850569428714,0.6403753229216687,5.844601894424395
89,0.8918715986267675,0.6404898158727637,5.856246354497133
90,0.901892627824821,0.6406090452212743,5.867894594181674
91,0.9119136570228746,0.6406659364323513,5.873718723547282
92,0.9219346862209282,0.6407925885768824,5.885372584852033
93,0.9319557154189818,0.640933511819606,5.897032943449872
94,0.9419767446170353,0.6410706905675029,5.908694188612383
95,0.9519977738150889,0.6412134227248549,5.920359081730391
96,0.9620188030131425,0.6412914830339257,5.92619427226117
97,0.972039832211196,0.6414520254170387,5.937867338305006
98,0.9820608614092496,0.6416186468664072,5.9495439544252555
99,0.9920818906073031,0.6417915765426104,5.961224083268834
