,t,Vr,Alphar,Betar
0,0.0,1.3157538494539545,0.6603779132552609,-1.9882243988358397
1,0.010021029198053567,1.3157846202665138,0.6603575041880415,-1.9768919892417314
2,0.020042058396107135,1.3157784120846978,0.6603310685225408,-1.9655458887700583
3,0.030063087594160702,1.3158087003060974,0.6603122287498864,-1.9542141415978234
4,0.04008411679221427,1.3158387555784323,0.6602941767387172,-1.942882678432059
5,0.05010514599026784,1.3158720670400976,0.6602888519205347,-1.9372240621890806
6,0.060126175188321404,1.3159017833558506,0.6602719849959133,-1.925892966044204
7,0.07014720438637498,1.3159312798071134,0.6602559101564494,-1.9145620751786736
8,0.08016823358442854,1.3159605617889443,0.6602406289048341,-1.9032313580570286
9,0.0901892627824821,1.3159896347883184,0.660226142609474,-1.8919007831353702
10,0.10021029198053567,1.3159817585120361,0.6602056420898739,-1.8805562812369512
11,0.11023132117858925,1.3160104289415508,0.6601927492949481,-1.869225895757577
12,0.12025235037664281,1.3160430655028577,0.6601900072681147,-1.8635677415355707
13,0.13027337957469637,1.3160714508889235,0.6601783121728295,-1.8522374155474084
14,0.14029440877274996,1.3160996531255538,0.6601674165233749,-1.8409070896567319
15,0.15031543797080352,1.3160909272531158,0.6601505112534646,-1.829562694237881
16,0.16033646716885708,1.3161187798966065,0.6601412163264768,-1.8182322733593428
17,0.17035749636691064,1.3161464676632388,0.6601327222934085,-1.8069017577972197
18,0.1803785255649642,1.3161418754400829,0.6601253713533178,-1.8012294358428937
19,0.1903995547630178,1.3161693270174315,0.6601180790655898,-1.789898718811766
20,0.20042058396107135,1.3161966295807843,0.6601115878939677,-1.7785678281807773
21,0.2104416131591249,1.3162237896356301,0.660105897670232,-1.7672367324164329
22,0.2204626423571785,1.3162508137812328,0.6601010080798528,-1.7559054000043144
23,0.23048367155523206,1.3162409516487448,0.6600901117952497,-1.7445597604409309
24,0.24050470075328562,1.3162677229072646,0.6600868222197285,-1.7332278595674724
25,0.2505257299513392,1.3162994439246043,0.6600888801475543,-1.7275688067194375
26,0.26054675914939274,1.3162892862205209,0.660079982647694,-1.7162223580063232
27,0.2705677883474463,1.3163157811605546,0.6600786885352571,-1.7048895701192694
28,0.2805888175454999,1.3163421781915916,0.6600781906897382,-1.6935563726608633
29,0.29060984674355345,1.316331724612041,0.660071684109341,-1.6822086940600052
30,0.30063087594160703,1.3163579464133706,0.6600727751446395,-1.6708745826115114
31,0.31065190513966057,1.3163894088466002,0.6600770191892854,-1.6652143606052752
32,0.32067293433771416,1.3163787585751978,0.6600724950134516,-1.653865441198679
33,0.33069396353576774,1.3164048039656173,0.660075562731602,-1.6425300121585404
34,0.3407149927338213,1.3164307922917606,0.660079417672547,-1.6311940017760964
35,0.35073602193187486,1.3164199691356013,0.6600772576756141,-1.6198433363339617
36,0.3607570511299284,1.316445865587292,0.6600826808684008,-1.6085060690283974
37,0.370778080327982,1.3164404198275474,0.6600822859273254,-1.6028301630077748
38,0.3807991095260356,1.3164662684032638,0.660088878732912,-1.5914918719735878
39,0.3908201387240891,1.3164553335972642,0.6600894508507669,-1.5801388165848744
40,0.4008411679221427,1.3164811463108055,0.6600975936190615,-1.5687990521857629
41,0.4108621971201963,1.3165069538841556,0.6601065065580052,-1.5574585056286583
42,0.4208832263182498,1.3164960025835168,0.6601093921021337,-1.5461031007383816
43,0.4309042555163034,1.3164905310451211,0.6601111221666103,-1.5404250837007454
44,0.440925284714357,1.3165163611221695,0.6601219467188482,-1.5290824458700647
45,0.4509463139124105,1.3165054552336064,0.6601267377904716,-1.5177248730257735
46,0.4609673431104641,1.3165313420071123,0.6601390750002204,-1.5063804253703021
47,0.47098837230851764,1.3165572705845048,0.6601521622184061,-1.4950350281331748
48,0.48100940150657123,1.316546489632908,0.6601592065125902,-1.4836746026416459
49,0.4910304307046248,1.31654112132403,0.6601630077547833,-1.4779940126917812
50,0.5010514599026784,1.3165671921152367,0.6601779519001351,-1.4666461074531927
51,0.5110724891007319,1.3165565778855202,0.6601868446537942,-1.4552830980247788
52,0.5210935182987855,1.3165828032472893,0.6602032530752708,-1.4439330520249918
53,0.5311145474968391,1.3165723632041142,0.6602136023163045,-1.4325678409818225
54,0.5411355766948927,1.3165987799744394,0.660231454525669,-1.4212155354766625
55,0.5511566058929462,1.3165936511705782,0.6602372576579314,-1.4155319185997006
56,0.5611776350909998,1.3165834818693585,0.6602493978341047,-1.4041637891518572
57,0.5711986642890533,1.3166101905337613,0.6602690236854512,-1.3928084932597842
58,0.5812196934871069,1.3166002801891272,0.6602825702249558,-1.3814378970774301
59,0.5912407226851605,1.316590514826525,0.6602968114948078,-1.3700660239551647
60,0.6012617518832141,1.3166176526083666,0.6603185157108208,-1.3587068990019562
61,0.6112827810812677,1.3166129073009252,0.6603262356799743,-1.3530198107808815
62,0.6213038102793211,1.3166035450161089,0.6603421833764418,-1.3416446190237135
63,0.6313248394773747,1.3166311074402692,0.6603655736887757,-1.3302821058981158
64,0.6413458686754283,1.3166221115790122,0.6603828547615205,-1.3189041307165599
65,0.6513668978734819,1.3166133150446528,0.660400792240806,-1.3075247213474732
66,0.6613879270715355,1.3166457366716495,0.660416772994693,-1.3018485286174808
67,0.671408956269589,1.3166372556180805,0.6604356788862041,-1.2904669155268023
68,0.6814299854676426,1.3166289991049323,0.6604552214411763,-1.2790837983568353
69,0.6914510146656961,1.3166209773033535,0.66047539233602,-1.2676991494375764
70,0.7014720438637497,1.316649935000906,0.6605029455714765,-1.2563270029174196
71,0.7114930730618033,1.3166424106573382,0.6605243455272598,-1.2449392085398825
